experiment_id,dimension_tested,lookback_window_days,max_total_crypto_weight,rebalance_frequency,covariance_method,ann_return,ann_volatility,sharpe,max_drawdown,calmar,mean_turnover,median_turnover,max_turnover,oos_start,oos_end,n_oos_days,n_rebalances,family,is_anchor,sample_scope,family_common_start,family_common_end
covariance_sample_baseline_ch1,covariance_method,252,0.2,monthly,sample,0.11809890264099754,0.10774404251620649,1.0961061037155118,-0.23414979433947725,0.504373292208723,0.026832195400817847,0.01710604072407371,0.24326065693740473,2019-01-01,2026-05-01,1914,89,covariance_method,False,common_family,2019-01-01,2026-05-01
covariance_sample_minvar_no_crypto_control,covariance_method,252,0.0,monthly,sample,0.11666100376963207,0.1071663628336635,1.0885972117081693,-0.23413123369606015,0.49827185347289776,0.024912771916054736,0.015252511507293794,0.23413854126165654,2019-01-01,2026-05-01,1914,89,covariance_method,False,common_family,2019-01-01,2026-05-01
covariance_ledoit_wolf_baseline_ch1,covariance_method,252,0.2,monthly,ledoit_wolf,0.11794264475402705,0.10886300679723426,1.0834042547961615,-0.23572796379664518,0.5003337018418923,0.026126257222686557,0.017361977107689684,0.15206906788811528,2019-01-01,2026-05-01,1914,89,covariance_method,False,common_family,2019-01-01,2026-05-01
covariance_ledoit_wolf_minvar_no_crypto_control,covariance_method,252,0.0,monthly,ledoit_wolf,0.11623243021507701,0.10812408622020073,1.074991098452968,-0.23561828722590739,0.4933081875076829,0.024032222840350427,0.01565909155264103,0.14211794016054427,2019-01-01,2026-05-01,1914,89,covariance_method,False,common_family,2019-01-01,2026-05-01
crypto_cap_0_00,crypto_cap,252,0.0,monthly,sample,0.11666100376963207,0.1071663628336635,1.0885972117081693,-0.23413123369606015,0.49827185347289776,0.024912771916054736,0.015252511507293794,0.23413854126165654,2019-01-01,2026-05-01,1914,89,crypto_cap,False,common_family,2019-01-01,2026-05-01
crypto_cap_0_10,crypto_cap,252,0.1,monthly,sample,0.11809892124348709,0.10774404498031534,1.096106251301996,-0.23414979433947725,0.5043733716556839,0.026832198972788036,0.01710604072407371,0.24326065693740473,2019-01-01,2026-05-01,1914,89,crypto_cap,False,common_family,2019-01-01,2026-05-01
crypto_cap_0_20,crypto_cap,252,0.2,monthly,sample,0.11809890264099754,0.10774404251620649,1.0961061037155118,-0.23414979433947725,0.504373292208723,0.026832195400817847,0.01710604072407371,0.24326065693740473,2019-01-01,2026-05-01,1914,89,crypto_cap,False,common_family,2019-01-01,2026-05-01
crypto_cap_0_25,crypto_cap,252,0.25,monthly,sample,0.11809890264099754,0.10774404251620649,1.0961061037155118,-0.23414979433947725,0.504373292208723,0.026832195400817847,0.01710604072407371,0.24326065693740473,2019-01-01,2026-05-01,1914,89,crypto_cap,False,common_family,2019-01-01,2026-05-01
lookback_126,lookback,126,0.2,monthly,sample,0.10647543753093869,0.11141107215256578,0.9556988858803167,-0.23464946957844945,0.45376381085464657,0.04009213939441017,0.02625066745873535,0.32397251958144,2020-01-01,2026-05-01,1653,77,lookback,False,common_family,2020-01-01,2026-05-01
lookback_252,lookback,252,0.2,monthly,sample,0.10353907798777806,0.11296387218311697,0.9165680671776096,-0.2341497943394758,0.4421916247240632,0.028045662998455397,0.017281837969320285,0.24326065693740473,2020-01-01,2026-05-01,1653,77,lookback,False,common_family,2020-01-01,2026-05-01
lookback_504,lookback,504,0.2,monthly,sample,0.09611188442477303,0.11154896116213107,0.8616116494807963,-0.23088240293579765,0.4162806831644906,0.016694586129968134,0.013368452506233008,0.06381274317593735,2020-01-01,2026-05-01,1653,77,lookback,False,common_family,2020-01-01,2026-05-01
rebalance_monthly,rebalance_frequency,252,0.2,monthly,sample,0.11809890264099754,0.10774404251620649,1.0961061037155118,-0.23414979433947725,0.504373292208723,0.026832195400817847,0.01710604072407371,0.24326065693740473,2019-01-01,2026-05-01,1914,89,rebalance,False,common_family,2019-01-01,2026-05-01
rebalance_quarterly,rebalance_frequency,252,0.2,quarterly,sample,0.12028683288704878,0.10852146724139924,1.1084150992861,-0.23641285599249828,0.5087998805397692,0.058905630624888815,0.030882204763031613,0.2509878938993142,2019-01-01,2026-05-01,1914,30,rebalance,False,common_family,2019-01-01,2026-05-01
