rebalance_date,experiment_id,dimension_tested,family,lookback_window_days,max_total_crypto_weight,rebalance_frequency,covariance_method,turnover_one_way,is_initial_rebalance,n_assets_changed,max_abs_weight_change
2019-01-01,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.0,True,0,0.0
2019-02-01,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.01723990249759276,False,4,0.01723990249759272
2019-03-01,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.009774552245877238,False,4,0.00905489752485128
2019-04-01,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.01697217895055466,False,4,0.012378685181399618
2019-05-01,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.013687831870597252,False,4,0.01073404601747108
2019-06-03,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.02257843127806724,False,4,0.0225784312780673
2019-07-01,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.01497209629406044,False,4,0.014972096294060488
2019-08-01,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.0054073003250020915,False,5,0.0053081889217044854
2019-09-02,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.038879853191315296,False,4,0.03696128287057904
2019-10-01,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.01941515616849319,False,4,0.019415156168493153
2019-11-01,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.014402062908502088,False,4,0.014402062908502045
2019-12-02,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.028387778660842695,False,6,0.02187372121992198
2020-01-01,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.0741701161103774,False,6,0.06448099584911646
2020-02-03,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.029501577985177628,False,6,0.015852158743719397
2020-03-02,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.05477931117641459,False,6,0.030913124893608646
2020-04-01,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.24326065693740473,False,5,0.20262365283740974
2020-05-01,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.07976640749203337,False,4,0.07957867269975466
2020-06-01,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.015456929988483263,False,4,0.013235624222454903
2020-07-01,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.030534954639086648,False,4,0.028419692453230158
2020-08-03,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.016518290567067388,False,4,0.01163313326632115
2020-09-01,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.09183160272817678,False,4,0.09183160272817684
2020-10-01,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.012929537737020644,False,4,0.011071206064197536
2020-11-02,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.00570382851391538,False,3,0.005703828513915321
2020-12-01,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.026262264067068684,False,3,0.026262264067068664
2021-01-01,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.014810470106840463,False,3,0.014810470106840501
2021-02-01,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.005200117001534984,False,3,0.005200117001534887
2021-03-01,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.019069629247999768,False,3,0.01906962924799982
2021-04-01,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.04904914517441904,False,3,0.04904914517441905
2021-05-03,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.0050475686481349135,False,3,0.005047568648134937
2021-06-01,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.01505146003891007,False,3,0.015051460038910114
2021-07-01,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.021963934810531417,False,3,0.021963934810531383
2021-08-02,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.0027290063587017506,False,3,0.0027290063587017688
2021-09-01,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.0072026684305819075,False,4,0.007202668430581871
2021-10-01,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.004203550114470557,False,4,0.0037706636568622387
2021-11-01,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.010975975973293512,False,4,0.010975975973293528
2021-12-01,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.009307680250824579,False,4,0.008022809643799034
2022-01-03,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.013433621577093432,False,4,0.01343362157709338
