date,strategy,objective,beta,max_total_crypto_weight,portfolio_return
2019-01-01,cvar_baseline,min_historical_cvar,0.95,0.2,0.0
2019-01-02,cvar_baseline,min_historical_cvar,0.95,0.2,0.0023864435719436598
2019-01-03,cvar_baseline,min_historical_cvar,0.95,0.2,1.2937340364095606e-05
2019-01-04,cvar_baseline,min_historical_cvar,0.95,0.2,0.0028354301692349523
2019-01-07,cvar_baseline,min_historical_cvar,0.95,0.2,0.002550940582543036
2019-01-08,cvar_baseline,min_historical_cvar,0.95,0.2,0.0009869722556080452
2019-01-09,cvar_baseline,min_historical_cvar,0.95,0.2,0.003117016618181667
2019-01-10,cvar_baseline,min_historical_cvar,0.95,0.2,-0.0031944680777544207
2019-01-11,cvar_baseline,min_historical_cvar,0.95,0.2,0.0020621996514238764
2019-01-14,cvar_baseline,min_historical_cvar,0.95,0.2,-0.002330660916457037
2019-01-15,cvar_baseline,min_historical_cvar,0.95,0.2,0.0016536939148925154
2019-01-16,cvar_baseline,min_historical_cvar,0.95,0.2,0.002205486915865234
2019-01-17,cvar_baseline,min_historical_cvar,0.95,0.2,0.0019767371223371483
2019-01-18,cvar_baseline,min_historical_cvar,0.95,0.2,-0.0007489293727585024
2019-01-21,cvar_baseline,min_historical_cvar,0.95,0.2,0.0
2019-01-22,cvar_baseline,min_historical_cvar,0.95,0.2,-0.0007370581436501201
2019-01-23,cvar_baseline,min_historical_cvar,0.95,0.2,2.5200518094681268e-05
2019-01-24,cvar_baseline,min_historical_cvar,0.95,0.2,0.0018710529618235039
2019-01-25,cvar_baseline,min_historical_cvar,0.95,0.2,0.0060266764472106755
2019-01-28,cvar_baseline,min_historical_cvar,0.95,0.2,-0.0014978163650892107
2019-01-29,cvar_baseline,min_historical_cvar,0.95,0.2,0.0032653234414179518
2019-01-30,cvar_baseline,min_historical_cvar,0.95,0.2,0.0066453609588736475
2019-01-31,cvar_baseline,min_historical_cvar,0.95,0.2,0.005818290317775416
2019-02-01,cvar_baseline,min_historical_cvar,0.95,0.2,-0.002618239470744831
2019-02-04,cvar_baseline,min_historical_cvar,0.95,0.2,-0.001057141540119137
2019-02-05,cvar_baseline,min_historical_cvar,0.95,0.2,0.003746730625212213
2019-02-06,cvar_baseline,min_historical_cvar,0.95,0.2,-0.0026726518866573455
2019-02-07,cvar_baseline,min_historical_cvar,0.95,0.2,0.000288685104555477
2019-02-08,cvar_baseline,min_historical_cvar,0.95,0.2,0.0036742467994240026
2019-02-11,cvar_baseline,min_historical_cvar,0.95,0.2,-0.0029586217277546814
2019-02-12,cvar_baseline,min_historical_cvar,0.95,0.2,0.0036389470928100726
2019-02-13,cvar_baseline,min_historical_cvar,0.95,0.2,-0.0017657407582784394
2019-02-14,cvar_baseline,min_historical_cvar,0.95,0.2,0.00322796412430376
2019-02-15,cvar_baseline,min_historical_cvar,0.95,0.2,0.005862183982369244
2019-02-18,cvar_baseline,min_historical_cvar,0.95,0.2,0.0005383057578932243
2019-02-19,cvar_baseline,min_historical_cvar,0.95,0.2,0.006735511114940894
2019-02-20,cvar_baseline,min_historical_cvar,0.95,0.2,-0.0009026403605062962
2019-02-21,cvar_baseline,min_historical_cvar,0.95,0.2,-0.008178785528636084
2019-02-22,cvar_baseline,min_historical_cvar,0.95,0.2,0.005259696937219846
2019-02-25,cvar_baseline,min_historical_cvar,0.95,0.2,-0.0011975872332076016
2019-02-26,cvar_baseline,min_historical_cvar,0.95,0.2,0.002021383169555059
2019-02-27,cvar_baseline,min_historical_cvar,0.95,0.2,-0.006513963922017094
2019-02-28,cvar_baseline,min_historical_cvar,0.95,0.2,-0.0036760749195428647
2019-03-01,cvar_baseline,min_historical_cvar,0.95,0.2,-0.007160765404348748
2019-03-04,cvar_baseline,min_historical_cvar,0.95,0.2,0.0006233875492118535
2019-03-05,cvar_baseline,min_historical_cvar,0.95,0.2,0.0009077081594405241
2019-03-06,cvar_baseline,min_historical_cvar,0.95,0.2,-0.0008554409595663815
2019-03-07,cvar_baseline,min_historical_cvar,0.95,0.2,-0.0005191826219131486
2019-03-08,cvar_baseline,min_historical_cvar,0.95,0.2,0.004584918169683039
2019-03-11,cvar_baseline,min_historical_cvar,0.95,0.2,0.0016347473478183314
2019-03-12,cvar_baseline,min_historical_cvar,0.95,0.2,0.005679769838835606
2019-03-13,cvar_baseline,min_historical_cvar,0.95,0.2,0.0036969233900769403
2019-03-14,cvar_baseline,min_historical_cvar,0.95,0.2,-0.006640486521436183
2019-03-15,cvar_baseline,min_historical_cvar,0.95,0.2,0.005425821024789719
2019-03-18,cvar_baseline,min_historical_cvar,0.95,0.2,0.001171958433028584
2019-03-19,cvar_baseline,min_historical_cvar,0.95,0.2,0.00026518278354649265
2019-03-20,cvar_baseline,min_historical_cvar,0.95,0.2,0.0049642534963223
2019-03-21,cvar_baseline,min_historical_cvar,0.95,0.2,0.0027874768846260023
2019-03-22,cvar_baseline,min_historical_cvar,0.95,0.2,0.0003751680092031074
2019-03-25,cvar_baseline,min_historical_cvar,0.95,0.2,0.0028645190486944958
2019-03-26,cvar_baseline,min_historical_cvar,0.95,0.2,0.0003178741106360048
2019-03-27,cvar_baseline,min_historical_cvar,0.95,0.2,6.450803541535426e-05
2019-03-28,cvar_baseline,min_historical_cvar,0.95,0.2,-0.0023580363231177747
2019-03-29,cvar_baseline,min_historical_cvar,0.95,0.2,0.0018869842787661956
2019-04-01,cvar_baseline,min_historical_cvar,0.95,0.2,-0.0025832132735249414
2019-04-02,cvar_baseline,min_historical_cvar,0.95,0.2,0.0027075856485009545
2019-04-03,cvar_baseline,min_historical_cvar,0.95,0.2,-0.002916143099248197
2019-04-04,cvar_baseline,min_historical_cvar,0.95,0.2,0.0026201338524923547
2019-04-05,cvar_baseline,min_historical_cvar,0.95,0.2,0.001708568811915709
2019-04-08,cvar_baseline,min_historical_cvar,0.95,0.2,0.0007178848165909242
2019-04-09,cvar_baseline,min_historical_cvar,0.95,0.2,0.0011542840942461072
2019-04-10,cvar_baseline,min_historical_cvar,0.95,0.2,0.0030544611015831413
2019-04-11,cvar_baseline,min_historical_cvar,0.95,0.2,-0.0066799378348240315
2019-04-12,cvar_baseline,min_historical_cvar,0.95,0.2,-0.0006193369372308238
2019-04-15,cvar_baseline,min_historical_cvar,0.95,0.2,-4.590074357911601e-06
2019-04-16,cvar_baseline,min_historical_cvar,0.95,0.2,-0.00479290087572813
2019-04-17,cvar_baseline,min_historical_cvar,0.95,0.2,-0.001265600299936439
2019-04-18,cvar_baseline,min_historical_cvar,0.95,0.2,0.0027087001568590822
2019-04-19,cvar_baseline,min_historical_cvar,0.95,0.2,5.01997458543953e-06
2019-04-22,cvar_baseline,min_historical_cvar,0.95,0.2,-0.0012808305214225958
2019-04-23,cvar_baseline,min_historical_cvar,0.95,0.2,0.0030581651135380395
2019-04-24,cvar_baseline,min_historical_cvar,0.95,0.2,0.0029404363945657874
2019-04-25,cvar_baseline,min_historical_cvar,0.95,0.2,-0.0006534287372849839
2019-04-26,cvar_baseline,min_historical_cvar,0.95,0.2,0.0049287655905141965
2019-04-29,cvar_baseline,min_historical_cvar,0.95,0.2,-0.003197216137861153
2019-04-30,cvar_baseline,min_historical_cvar,0.95,0.2,0.00302584943231123
2019-05-01,cvar_baseline,min_historical_cvar,0.95,0.2,-0.0031297997667406484
2019-05-02,cvar_baseline,min_historical_cvar,0.95,0.2,-0.003640881688658231
2019-05-03,cvar_baseline,min_historical_cvar,0.95,0.2,0.006027634209329207
2019-05-06,cvar_baseline,min_historical_cvar,0.95,0.2,0.0001412913715198936
2019-05-07,cvar_baseline,min_historical_cvar,0.95,0.2,-0.0013264708605662048
2019-05-08,cvar_baseline,min_historical_cvar,0.95,0.2,-0.002801442398112461
2019-05-09,cvar_baseline,min_historical_cvar,0.95,0.2,0.0013530022037359308
2019-05-10,cvar_baseline,min_historical_cvar,0.95,0.2,0.0016849800883571111
2019-05-13,cvar_baseline,min_historical_cvar,0.95,0.2,-0.001354305087918918
2019-05-14,cvar_baseline,min_historical_cvar,0.95,0.2,0.0010356908283521747
2019-05-15,cvar_baseline,min_historical_cvar,0.95,0.2,0.003741504361268904
2019-05-16,cvar_baseline,min_historical_cvar,0.95,0.2,-0.0008857129133771351
2019-05-17,cvar_baseline,min_historical_cvar,0.95,0.2,-0.003577090696905377
2019-05-20,cvar_baseline,min_historical_cvar,0.95,0.2,-0.0027617486832178092
2019-05-21,cvar_baseline,min_historical_cvar,0.95,0.2,0.001346368188445417
2019-05-22,cvar_baseline,min_historical_cvar,0.95,0.2,0.0007824667543582279
2019-05-23,cvar_baseline,min_historical_cvar,0.95,0.2,0.002980399667455672
2019-05-24,cvar_baseline,min_historical_cvar,0.95,0.2,0.0013514174307828015
2019-05-27,cvar_baseline,min_historical_cvar,0.95,0.2,0.0
2019-05-28,cvar_baseline,min_historical_cvar,0.95,0.2,-0.0014770919208032082
2019-05-29,cvar_baseline,min_historical_cvar,0.95,0.2,-0.0007600374320522909
2019-05-30,cvar_baseline,min_historical_cvar,0.95,0.2,0.00626139685265234
2019-05-31,cvar_baseline,min_historical_cvar,0.95,0.2,0.00525147621128923
2019-06-03,cvar_baseline,min_historical_cvar,0.95,0.2,0.006403647197583021
2019-06-04,cvar_baseline,min_historical_cvar,0.95,0.2,0.0026500759024158417
2019-06-05,cvar_baseline,min_historical_cvar,0.95,0.2,0.0016397501459601382
2019-06-06,cvar_baseline,min_historical_cvar,0.95,0.2,0.004261540376629435
2019-06-07,cvar_baseline,min_historical_cvar,0.95,0.2,0.008074588420467007
2019-06-10,cvar_baseline,min_historical_cvar,0.95,0.2,-0.005188370628775952
2019-06-11,cvar_baseline,min_historical_cvar,0.95,0.2,-0.00028788819977931975
2019-06-12,cvar_baseline,min_historical_cvar,0.95,0.2,0.0015040119496683977
2019-06-13,cvar_baseline,min_historical_cvar,0.95,0.2,0.004582424359834557
2019-06-14,cvar_baseline,min_historical_cvar,0.95,0.2,0.00048425138800304505
2019-06-17,cvar_baseline,min_historical_cvar,0.95,0.2,0.0006160084426973375
2019-06-18,cvar_baseline,min_historical_cvar,0.95,0.2,0.006700502763264945
2019-06-19,cvar_baseline,min_historical_cvar,0.95,0.2,0.003300090815197945
2019-06-20,cvar_baseline,min_historical_cvar,0.95,0.2,0.012557557846990076
2019-06-21,cvar_baseline,min_historical_cvar,0.95,0.2,-0.0017632833920767418
2019-06-24,cvar_baseline,min_historical_cvar,0.95,0.2,0.0074306544616131115
2019-06-25,cvar_baseline,min_historical_cvar,0.95,0.2,-0.0012177081471071002
2019-06-26,cvar_baseline,min_historical_cvar,0.95,0.2,-0.005465198422183767
2019-06-27,cvar_baseline,min_historical_cvar,0.95,0.2,0.002798762042362053
2019-06-28,cvar_baseline,min_historical_cvar,0.95,0.2,0.002542188528755309
2019-07-01,cvar_baseline,min_historical_cvar,0.95,0.2,-0.004852856152011934
2019-07-02,cvar_baseline,min_historical_cvar,0.95,0.2,0.010714141508843967
2019-07-03,cvar_baseline,min_historical_cvar,0.95,0.2,0.005678018354790357
2019-07-04,cvar_baseline,min_historical_cvar,0.95,0.2,-9.50843732229181e-05
2019-07-05,cvar_baseline,min_historical_cvar,0.95,0.2,-0.008795988884699305
2019-07-08,cvar_baseline,min_historical_cvar,0.95,0.2,-0.0032442610462373516
2019-07-09,cvar_baseline,min_historical_cvar,0.95,0.2,0.0014708617294319683
2019-07-10,cvar_baseline,min_historical_cvar,0.95,0.2,0.004824024900913687
2019-07-11,cvar_baseline,min_historical_cvar,0.95,0.2,-0.006864675644924085
2019-07-12,cvar_baseline,min_historical_cvar,0.95,0.2,0.003990334797770885
2019-07-15,cvar_baseline,min_historical_cvar,0.95,0.2,0.0019614420474471576
2019-07-16,cvar_baseline,min_historical_cvar,0.95,0.2,-0.005096765349147318
2019-07-17,cvar_baseline,min_historical_cvar,0.95,0.2,0.0071830539205376305
2019-07-18,cvar_baseline,min_historical_cvar,0.95,0.2,0.006112719089598611
2019-07-19,cvar_baseline,min_historical_cvar,0.95,0.2,-0.007620330385014246
2019-07-22,cvar_baseline,min_historical_cvar,0.95,0.2,0.0013448861280645683
2019-07-23,cvar_baseline,min_historical_cvar,0.95,0.2,-0.0016514997278071553
2019-07-24,cvar_baseline,min_historical_cvar,0.95,0.2,0.004691062220877451
2019-07-25,cvar_baseline,min_historical_cvar,0.95,0.2,-0.005539477583048381
2019-07-26,cvar_baseline,min_historical_cvar,0.95,0.2,0.0034742099897094444
2019-07-29,cvar_baseline,min_historical_cvar,0.95,0.2,0.0017443219347228857
2019-07-30,cvar_baseline,min_historical_cvar,0.95,0.2,0.0012176849246844077
2019-07-31,cvar_baseline,min_historical_cvar,0.95,0.2,-0.005068591767429449
2019-08-01,cvar_baseline,min_historical_cvar,0.95,0.2,0.011707183151970649
2019-08-02,cvar_baseline,min_historical_cvar,0.95,0.2,-0.0004497932498632143
2019-08-05,cvar_baseline,min_historical_cvar,0.95,0.2,0.0009175810228774081
2019-08-06,cvar_baseline,min_historical_cvar,0.95,0.2,0.009925236532817638
2019-08-07,cvar_baseline,min_historical_cvar,0.95,0.2,0.0052794687657509755
2019-08-08,cvar_baseline,min_historical_cvar,0.95,0.2,0.008565428887556448
2019-08-09,cvar_baseline,min_historical_cvar,0.95,0.2,-0.003953017127181149
2019-08-12,cvar_baseline,min_historical_cvar,0.95,0.2,0.006763312315561544
2019-08-13,cvar_baseline,min_historical_cvar,0.95,0.2,0.0016102646583878563
2019-08-14,cvar_baseline,min_historical_cvar,0.95,0.2,0.0010425096720151497
2019-08-15,cvar_baseline,min_historical_cvar,0.95,0.2,0.007069256839704779
2019-08-16,cvar_baseline,min_historical_cvar,0.95,0.2,-0.0005863589363256897
2019-08-19,cvar_baseline,min_historical_cvar,0.95,0.2,-0.005346175871182291
2019-08-20,cvar_baseline,min_historical_cvar,0.95,0.2,0.0038811252240612596
2019-08-21,cvar_baseline,min_historical_cvar,0.95,0.2,-0.0009441593530314326
2019-08-22,cvar_baseline,min_historical_cvar,0.95,0.2,-0.0033276537772173433
2019-08-23,cvar_baseline,min_historical_cvar,0.95,0.2,0.004278259822821179
2019-08-26,cvar_baseline,min_historical_cvar,0.95,0.2,0.0019283112362596748
2019-08-27,cvar_baseline,min_historical_cvar,0.95,0.2,0.007554462383760412
2019-08-28,cvar_baseline,min_historical_cvar,0.95,0.2,0.001670969598144438
2019-08-29,cvar_baseline,min_historical_cvar,0.95,0.2,0.00014271789196979284
2019-08-30,cvar_baseline,min_historical_cvar,0.95,0.2,-0.0008785250710449312
2019-09-02,cvar_baseline,min_historical_cvar,0.95,0.2,0.0
2019-09-03,cvar_baseline,min_historical_cvar,0.95,0.2,0.0029658975561083325
2019-09-04,cvar_baseline,min_historical_cvar,0.95,0.2,0.006277099222612609
2019-09-05,cvar_baseline,min_historical_cvar,0.95,0.2,-0.009774132088797153
2019-09-06,cvar_baseline,min_historical_cvar,0.95,0.2,-2.419493340207867e-05
2019-09-09,cvar_baseline,min_historical_cvar,0.95,0.2,-0.007136915783953619
2019-09-10,cvar_baseline,min_historical_cvar,0.95,0.2,-0.008776755285509544
2019-09-11,cvar_baseline,min_historical_cvar,0.95,0.2,0.0037735648398984356
2019-09-12,cvar_baseline,min_historical_cvar,0.95,0.2,-0.00035119271076641725
2019-09-13,cvar_baseline,min_historical_cvar,0.95,0.2,-0.010009361767425277
2019-09-16,cvar_baseline,min_historical_cvar,0.95,0.2,0.00579783319492456
2019-09-17,cvar_baseline,min_historical_cvar,0.95,0.2,0.0033169347559246693
2019-09-18,cvar_baseline,min_historical_cvar,0.95,0.2,-0.0003907403141037353
2019-09-19,cvar_baseline,min_historical_cvar,0.95,0.2,0.002273138292281128
2019-09-20,cvar_baseline,min_historical_cvar,0.95,0.2,0.006560100228747966
2019-09-23,cvar_baseline,min_historical_cvar,0.95,0.2,0.0016418503979327994
2019-09-24,cvar_baseline,min_historical_cvar,0.95,0.2,0.003078699556084574
2019-09-25,cvar_baseline,min_historical_cvar,0.95,0.2,-0.00895028142709113
2019-09-26,cvar_baseline,min_historical_cvar,0.95,0.2,0.001367912549760886
2019-09-27,cvar_baseline,min_historical_cvar,0.95,0.2,-0.002648159402933803
2019-09-30,cvar_baseline,min_historical_cvar,0.95,0.2,-0.0025204279110965736
2019-10-01,cvar_baseline,min_historical_cvar,0.95,0.2,-0.0014788578382663152
2019-10-02,cvar_baseline,min_historical_cvar,0.95,0.2,-0.0017387861641687103
2019-10-03,cvar_baseline,min_historical_cvar,0.95,0.2,0.0073887426974680445
2019-10-04,cvar_baseline,min_historical_cvar,0.95,0.2,0.007234704693411309
2019-10-07,cvar_baseline,min_historical_cvar,0.95,0.2,-0.006983747102125103
2019-10-08,cvar_baseline,min_historical_cvar,0.95,0.2,-0.001753857794313233
2019-10-09,cvar_baseline,min_historical_cvar,0.95,0.2,0.001524165677696059
2019-10-10,cvar_baseline,min_historical_cvar,0.95,0.2,-0.005596040892216292
2019-10-11,cvar_baseline,min_historical_cvar,0.95,0.2,-0.0024274553497543898
2019-10-14,cvar_baseline,min_historical_cvar,0.95,0.2,0.0033391366007058804
2019-10-15,cvar_baseline,min_historical_cvar,0.95,0.2,-0.002856223289632281
2019-10-16,cvar_baseline,min_historical_cvar,0.95,0.2,0.00156839748421182
2019-10-17,cvar_baseline,min_historical_cvar,0.95,0.2,0.0006419556654605651
2019-10-18,cvar_baseline,min_historical_cvar,0.95,0.2,-0.001882495399790568
2019-10-21,cvar_baseline,min_historical_cvar,0.95,0.2,-0.0016345651416859938
2019-10-22,cvar_baseline,min_historical_cvar,0.95,0.2,0.0017134205838860443
2019-10-23,cvar_baseline,min_historical_cvar,0.95,0.2,0.0020669912873949
2019-10-24,cvar_baseline,min_historical_cvar,0.95,0.2,0.0020519109707812853
2019-10-25,cvar_baseline,min_historical_cvar,0.95,0.2,0.000536765556435223
2019-10-28,cvar_baseline,min_historical_cvar,0.95,0.2,-0.0037012653776529016
2019-10-29,cvar_baseline,min_historical_cvar,0.95,0.2,-0.0007144242511937008
2019-10-30,cvar_baseline,min_historical_cvar,0.95,0.2,0.007693487733674205
2019-10-31,cvar_baseline,min_historical_cvar,0.95,0.2,0.006657560628386039
2019-11-01,cvar_baseline,min_historical_cvar,0.95,0.2,0.002997146089443615
2019-11-04,cvar_baseline,min_historical_cvar,0.95,0.2,-0.0032398927509918324
2019-11-05,cvar_baseline,min_historical_cvar,0.95,0.2,-0.008344085802173523
2019-11-06,cvar_baseline,min_historical_cvar,0.95,0.2,0.003029298239297174
2019-11-07,cvar_baseline,min_historical_cvar,0.95,0.2,-0.008510304191471097
2019-11-08,cvar_baseline,min_historical_cvar,0.95,0.2,-0.0019206429138322895
2019-11-11,cvar_baseline,min_historical_cvar,0.95,0.2,-0.0012036682187870676
2019-11-12,cvar_baseline,min_historical_cvar,0.95,0.2,0.003089296464673137
2019-11-13,cvar_baseline,min_historical_cvar,0.95,0.2,0.003239864223278152
2019-11-14,cvar_baseline,min_historical_cvar,0.95,0.2,0.004859877003616084
2019-11-15,cvar_baseline,min_historical_cvar,0.95,0.2,0.00199150821543785
2019-11-18,cvar_baseline,min_historical_cvar,0.95,0.2,0.0016750697785210562
2019-11-19,cvar_baseline,min_historical_cvar,0.95,0.2,0.0027441286661489205
2019-11-20,cvar_baseline,min_historical_cvar,0.95,0.2,0.0017437772202787217
2019-11-21,cvar_baseline,min_historical_cvar,0.95,0.2,-0.004161564699657535
2019-11-22,cvar_baseline,min_historical_cvar,0.95,0.2,0.0007446548395417703
2019-11-25,cvar_baseline,min_historical_cvar,0.95,0.2,0.003113309240535
2019-11-26,cvar_baseline,min_historical_cvar,0.95,0.2,0.0040600679494871865
2019-11-27,cvar_baseline,min_historical_cvar,0.95,0.2,-0.0003257136595074784
2019-11-28,cvar_baseline,min_historical_cvar,0.95,0.2,0.0
2019-11-29,cvar_baseline,min_historical_cvar,0.95,0.2,-0.0006574002587315002
2019-12-02,cvar_baseline,min_historical_cvar,0.95,0.2,-0.008430288489912376
2019-12-03,cvar_baseline,min_historical_cvar,0.95,0.2,0.005678820833588944
2019-12-04,cvar_baseline,min_historical_cvar,0.95,0.2,-0.0009238317631304407
2019-12-05,cvar_baseline,min_historical_cvar,0.95,0.2,-0.0004200838027642595
2019-12-06,cvar_baseline,min_historical_cvar,0.95,0.2,-3.528519996567024e-05
2019-12-09,cvar_baseline,min_historical_cvar,0.95,0.2,-0.0009749917252301144
2019-12-10,cvar_baseline,min_historical_cvar,0.95,0.2,0.00015203156207247576
2019-12-11,cvar_baseline,min_historical_cvar,0.95,0.2,0.005429047361579208
2019-12-12,cvar_baseline,min_historical_cvar,0.95,0.2,-0.0021249839551796637
2019-12-13,cvar_baseline,min_historical_cvar,0.95,0.2,0.005069226943209731
2019-12-16,cvar_baseline,min_historical_cvar,0.95,0.2,-1.9821837299236183e-05
2019-12-17,cvar_baseline,min_historical_cvar,0.95,0.2,-0.0009137819807968073
2019-12-18,cvar_baseline,min_historical_cvar,0.95,0.2,-0.0018116161687795115
2019-12-19,cvar_baseline,min_historical_cvar,0.95,0.2,0.0029479573831317474
2019-12-20,cvar_baseline,min_historical_cvar,0.95,0.2,0.0025576039305046047
2019-12-23,cvar_baseline,min_historical_cvar,0.95,0.2,0.0010886155442774528
2019-12-24,cvar_baseline,min_historical_cvar,0.95,0.2,0.0032684553714275623
2019-12-25,cvar_baseline,min_historical_cvar,0.95,0.2,-0.00013535330331425257
2019-12-26,cvar_baseline,min_historical_cvar,0.95,0.2,0.005369386239766709
2019-12-27,cvar_baseline,min_historical_cvar,0.95,0.2,0.00011505454085151842
2019-12-30,cvar_baseline,min_historical_cvar,0.95,0.2,-0.0028333568611133755
2019-12-31,cvar_baseline,min_historical_cvar,0.95,0.2,-0.0015499300491480553
2020-01-01,cvar_baseline,min_historical_cvar,0.95,0.2,3.9757718996983966e-05
2020-01-02,cvar_baseline,min_historical_cvar,0.95,0.2,0.009816829249751345
2020-01-03,cvar_baseline,min_historical_cvar,0.95,0.2,0.004612081423275972
2020-01-06,cvar_baseline,min_historical_cvar,0.95,0.2,0.003580312521596504
2020-01-07,cvar_baseline,min_historical_cvar,0.95,0.2,-0.001135658822048119
2020-01-08,cvar_baseline,min_historical_cvar,0.95,0.2,-0.0013324191923454554
2020-01-09,cvar_baseline,min_historical_cvar,0.95,0.2,0.0025824139394748785
2020-01-10,cvar_baseline,min_historical_cvar,0.95,0.2,0.003137725571967753
2020-01-13,cvar_baseline,min_historical_cvar,0.95,0.2,0.0008198068917115156
2020-01-14,cvar_baseline,min_historical_cvar,0.95,0.2,0.0014170061589963813
2020-01-15,cvar_baseline,min_historical_cvar,0.95,0.2,0.00418473741429475
2020-01-16,cvar_baseline,min_historical_cvar,0.95,0.2,0.002467675082547457
2020-01-17,cvar_baseline,min_historical_cvar,0.95,0.2,-5.327791404917794e-05
2020-01-20,cvar_baseline,min_historical_cvar,0.95,0.2,-0.00029713817502733525
2020-01-21,cvar_baseline,min_historical_cvar,0.95,0.2,0.002655958916442831
2020-01-22,cvar_baseline,min_historical_cvar,0.95,0.2,0.0013214166943335015
2020-01-23,cvar_baseline,min_historical_cvar,0.95,0.2,0.002956352704319085
2020-01-24,cvar_baseline,min_historical_cvar,0.95,0.2,-0.0001563569068307566
2020-01-27,cvar_baseline,min_historical_cvar,0.95,0.2,-0.000892585982740733
2020-01-28,cvar_baseline,min_historical_cvar,0.95,0.2,0.0010232592114907293
2020-01-29,cvar_baseline,min_historical_cvar,0.95,0.2,0.004031650646654201
2020-01-30,cvar_baseline,min_historical_cvar,0.95,0.2,0.0019375754850035922
2020-01-31,cvar_baseline,min_historical_cvar,0.95,0.2,-0.003944933749946335
2020-02-03,cvar_baseline,min_historical_cvar,0.95,0.2,0.0024586727115509656
2020-02-04,cvar_baseline,min_historical_cvar,0.95,0.2,0.0005730912041229958
2020-02-05,cvar_baseline,min_historical_cvar,0.95,0.2,0.0022504702213161356
2020-02-06,cvar_baseline,min_historical_cvar,0.95,0.2,0.004942955056845955
2020-02-07,cvar_baseline,min_historical_cvar,0.95,0.2,0.0019967352921985235
2020-02-10,cvar_baseline,min_historical_cvar,0.95,0.2,0.005408461694043453
2020-02-11,cvar_baseline,min_historical_cvar,0.95,0.2,-0.0011672008991363294
