rebalance_date,strategy,objective,beta,max_total_crypto_weight,turnover_one_way,is_initial_rebalance,n_assets_changed,max_abs_weight_change
2019-01-01,cvar_baseline,min_historical_cvar,0.95,0.2,0.0,True,0,0.0
2019-02-01,cvar_baseline,min_historical_cvar,0.95,0.2,0.019297882508408172,False,4,0.019297882508408137
2019-03-01,cvar_baseline,min_historical_cvar,0.95,0.2,0.007351115313085498,False,4,0.005952753301482261
2019-04-01,cvar_baseline,min_historical_cvar,0.95,0.2,0.01282038968287539,False,4,0.012331574301275294
2019-05-01,cvar_baseline,min_historical_cvar,0.95,0.2,0.015421688581383042,False,4,0.010515387013501576
2019-06-03,cvar_baseline,min_historical_cvar,0.95,0.2,0.022847400259150455,False,4,0.021247396060913526
2019-07-01,cvar_baseline,min_historical_cvar,0.95,0.2,0.014367755067358452,False,4,0.014367755067358434
2019-08-01,cvar_baseline,min_historical_cvar,0.95,0.2,0.021141586369311426,False,4,0.021141586369311405
2019-09-02,cvar_baseline,min_historical_cvar,0.95,0.2,0.02351488638858429,False,3,0.023514886388584233
2019-10-01,cvar_baseline,min_historical_cvar,0.95,0.2,0.014546858142945429,False,5,0.014546858142945429
2019-11-01,cvar_baseline,min_historical_cvar,0.95,0.2,0.05423404464278126,False,5,0.05423404464278128
2019-12-02,cvar_baseline,min_historical_cvar,0.95,0.2,0.04063911360550436,False,5,0.03249827166828968
2020-01-01,cvar_baseline,min_historical_cvar,0.95,0.2,0.016566906017475208,False,6,0.011295922855323465
2020-02-03,cvar_baseline,min_historical_cvar,0.95,0.2,0.014299816218904308,False,6,0.013407753952363488
2020-03-02,cvar_baseline,min_historical_cvar,0.95,0.2,0.06525583504590882,False,6,0.040418952160641834
2020-04-01,cvar_baseline,min_historical_cvar,0.95,0.2,0.3543542225926938,False,5,0.3156196831272211
2020-05-01,cvar_baseline,min_historical_cvar,0.95,0.2,0.02097601300703772,False,3,0.020976013007037664
2020-06-01,cvar_baseline,min_historical_cvar,0.95,0.2,0.013796726382815622,False,3,0.013796726382815538
2020-07-01,cvar_baseline,min_historical_cvar,0.95,0.2,0.009686988887426667,False,3,0.00968698888742664
2020-08-03,cvar_baseline,min_historical_cvar,0.95,0.2,0.010602729208587458,False,3,0.010602729208587458
2020-09-01,cvar_baseline,min_historical_cvar,0.95,0.2,0.03965951258840157,False,4,0.03965951258840161
2020-10-01,cvar_baseline,min_historical_cvar,0.95,0.2,0.07393814969301823,False,4,0.06935403058652312
2020-11-02,cvar_baseline,min_historical_cvar,0.95,0.2,0.011441949944150515,False,4,0.007326298137466186
2020-12-01,cvar_baseline,min_historical_cvar,0.95,0.2,0.24508358491205545,False,4,0.24508358491205545
2021-01-01,cvar_baseline,min_historical_cvar,0.95,0.2,0.014810470106840556,False,3,0.014810470106840612
2021-02-01,cvar_baseline,min_historical_cvar,0.95,0.2,0.005200117001534943,False,3,0.005200117001534943
2021-03-01,cvar_baseline,min_historical_cvar,0.95,0.2,0.019069629248000153,False,3,0.019069629248000153
2021-04-01,cvar_baseline,min_historical_cvar,0.95,0.2,0.04949131816245633,False,4,0.04949131816245633
2021-05-03,cvar_baseline,min_historical_cvar,0.95,0.2,0.006471224957975438,False,4,0.005055958721392029
2021-06-01,cvar_baseline,min_historical_cvar,0.95,0.2,0.014327316331907354,False,4,0.012739121707410817
2021-07-01,cvar_baseline,min_historical_cvar,0.95,0.2,0.021963934810531577,False,3,0.021963934810531494
2021-08-02,cvar_baseline,min_historical_cvar,0.95,0.2,0.0027290063587015745,False,3,0.0027290063587015467
