rebalance_date,strategy,objective,beta,max_total_crypto_weight,ticker,weight
2019-01-01,cvar_baseline,min_historical_cvar,0.95,0.2,BTC-USD,0.0
2019-01-01,cvar_baseline,min_historical_cvar,0.95,0.2,ETH-USD,0.0
2019-01-01,cvar_baseline,min_historical_cvar,0.95,0.2,GLD,0.35
2019-01-01,cvar_baseline,min_historical_cvar,0.95,0.2,QQQ,0.0
2019-01-01,cvar_baseline,min_historical_cvar,0.95,0.2,SPY,0.30000000000000004
2019-01-01,cvar_baseline,min_historical_cvar,0.95,0.2,TLT,0.35
2019-02-01,cvar_baseline,min_historical_cvar,0.95,0.2,BTC-USD,0.006370760901812393
2019-02-01,cvar_baseline,min_historical_cvar,0.95,0.2,ETH-USD,0.0
2019-02-01,cvar_baseline,min_historical_cvar,0.95,0.2,GLD,0.3500000000000001
2019-02-01,cvar_baseline,min_historical_cvar,0.95,0.2,QQQ,0.0
2019-02-01,cvar_baseline,min_historical_cvar,0.95,0.2,SPY,0.2936292390981875
2019-02-01,cvar_baseline,min_historical_cvar,0.95,0.2,TLT,0.3500000000000001
2019-03-01,cvar_baseline,min_historical_cvar,0.95,0.2,BTC-USD,0.004089826636722459
2019-03-01,cvar_baseline,min_historical_cvar,0.95,0.2,ETH-USD,0.0
2019-03-01,cvar_baseline,min_historical_cvar,0.95,0.2,GLD,0.34236142012997955
2019-03-01,cvar_baseline,min_historical_cvar,0.95,0.2,QQQ,0.0
2019-03-01,cvar_baseline,min_historical_cvar,0.95,0.2,SPY,0.303548753233298
2019-03-01,cvar_baseline,min_historical_cvar,0.95,0.2,TLT,0.35
2019-04-01,cvar_baseline,min_historical_cvar,0.95,0.2,BTC-USD,0.0037750854593859976
2019-04-01,cvar_baseline,min_historical_cvar,0.95,0.2,ETH-USD,0.0
2019-04-01,cvar_baseline,min_historical_cvar,0.95,0.2,GLD,0.33752817484613507
2019-04-01,cvar_baseline,min_historical_cvar,0.95,0.2,QQQ,0.0
2019-04-01,cvar_baseline,min_historical_cvar,0.95,0.2,SPY,0.30869673969447897
2019-04-01,cvar_baseline,min_historical_cvar,0.95,0.2,TLT,0.35
2019-05-01,cvar_baseline,min_historical_cvar,0.95,0.2,BTC-USD,0.0
2019-05-01,cvar_baseline,min_historical_cvar,0.95,0.2,ETH-USD,0.0
2019-05-01,cvar_baseline,min_historical_cvar,0.95,0.2,GLD,0.340664514818162
2019-05-01,cvar_baseline,min_historical_cvar,0.95,0.2,QQQ,0.0
2019-05-01,cvar_baseline,min_historical_cvar,0.95,0.2,SPY,0.3093354851818382
2019-05-01,cvar_baseline,min_historical_cvar,0.95,0.2,TLT,0.35
2019-06-03,cvar_baseline,min_historical_cvar,0.95,0.2,BTC-USD,0.0016000041982368906
2019-06-03,cvar_baseline,min_historical_cvar,0.95,0.2,ETH-USD,0.0
2019-06-03,cvar_baseline,min_historical_cvar,0.95,0.2,GLD,0.3404673314499692
2019-06-03,cvar_baseline,min_historical_cvar,0.95,0.2,QQQ,0.0
2019-06-03,cvar_baseline,min_historical_cvar,0.95,0.2,SPY,0.3079326643517939
2019-06-03,cvar_baseline,min_historical_cvar,0.95,0.2,TLT,0.35
2019-07-01,cvar_baseline,min_historical_cvar,0.95,0.2,BTC-USD,0.0016000041982369342
2019-07-01,cvar_baseline,min_historical_cvar,0.95,0.2,ETH-USD,0.0
2019-07-01,cvar_baseline,min_historical_cvar,0.95,0.2,GLD,0.34046733144996927
2019-07-01,cvar_baseline,min_historical_cvar,0.95,0.2,QQQ,0.0
2019-07-01,cvar_baseline,min_historical_cvar,0.95,0.2,SPY,0.30793266435179384
2019-07-01,cvar_baseline,min_historical_cvar,0.95,0.2,TLT,0.35
2019-08-01,cvar_baseline,min_historical_cvar,0.95,0.2,BTC-USD,0.0
2019-08-01,cvar_baseline,min_historical_cvar,0.95,0.2,ETH-USD,0.0
2019-08-01,cvar_baseline,min_historical_cvar,0.95,0.2,GLD,0.3204584227329103
2019-08-01,cvar_baseline,min_historical_cvar,0.95,0.2,QQQ,0.0
2019-08-01,cvar_baseline,min_historical_cvar,0.95,0.2,SPY,0.3320882508068135
2019-08-01,cvar_baseline,min_historical_cvar,0.95,0.2,TLT,0.34745332646027616
2019-09-02,cvar_baseline,min_historical_cvar,0.95,0.2,BTC-USD,0.0
2019-09-02,cvar_baseline,min_historical_cvar,0.95,0.2,ETH-USD,0.0
2019-09-02,cvar_baseline,min_historical_cvar,0.95,0.2,GLD,0.32045842273291053
2019-09-02,cvar_baseline,min_historical_cvar,0.95,0.2,QQQ,0.0
2019-09-02,cvar_baseline,min_historical_cvar,0.95,0.2,SPY,0.3320882508068134
2019-09-02,cvar_baseline,min_historical_cvar,0.95,0.2,TLT,0.34745332646027605
2019-10-01,cvar_baseline,min_historical_cvar,0.95,0.2,BTC-USD,0.0
2019-10-01,cvar_baseline,min_historical_cvar,0.95,0.2,ETH-USD,0.0003662424339381458
2019-10-01,cvar_baseline,min_historical_cvar,0.95,0.2,GLD,0.2993418617386172
2019-10-01,cvar_baseline,min_historical_cvar,0.95,0.2,QQQ,0.0002918958274446875
2019-10-01,cvar_baseline,min_historical_cvar,0.95,0.2,SPY,0.35
2019-10-01,cvar_baseline,min_historical_cvar,0.95,0.2,TLT,0.35
2019-11-01,cvar_baseline,min_historical_cvar,0.95,0.2,BTC-USD,0.0
2019-11-01,cvar_baseline,min_historical_cvar,0.95,0.2,ETH-USD,0.0
2019-11-01,cvar_baseline,min_historical_cvar,0.95,0.2,GLD,0.27375501818065756
2019-11-01,cvar_baseline,min_historical_cvar,0.95,0.2,QQQ,0.054535251215641796
2019-11-01,cvar_baseline,min_historical_cvar,0.95,0.2,SPY,0.35
2019-11-01,cvar_baseline,min_historical_cvar,0.95,0.2,TLT,0.3217097306037006
2019-12-02,cvar_baseline,min_historical_cvar,0.95,0.2,BTC-USD,0.0
2019-12-02,cvar_baseline,min_historical_cvar,0.95,0.2,ETH-USD,0.008140841937214574
2019-12-02,cvar_baseline,min_historical_cvar,0.95,0.2,GLD,0.24582903682653204
2019-12-02,cvar_baseline,min_historical_cvar,0.95,0.2,QQQ,0.08898193209436657
2019-12-02,cvar_baseline,min_historical_cvar,0.95,0.2,SPY,0.35
2019-12-02,cvar_baseline,min_historical_cvar,0.95,0.2,TLT,0.3070481891418868
2020-01-01,cvar_baseline,min_historical_cvar,0.95,0.2,BTC-USD,0.0052709831621517034
2020-01-01,cvar_baseline,min_historical_cvar,0.95,0.2,ETH-USD,0.00380186974760537
2020-01-01,cvar_baseline,min_historical_cvar,0.95,0.2,GLD,0.25144426276299825
2020-01-01,cvar_baseline,min_historical_cvar,0.95,0.2,QQQ,0.10268955308612819
2020-01-01,cvar_baseline,min_historical_cvar,0.95,0.2,SPY,0.3499999999999999
2020-01-01,cvar_baseline,min_historical_cvar,0.95,0.2,TLT,0.2867933312411165
2020-02-03,cvar_baseline,min_historical_cvar,0.95,0.2,BTC-USD,0.00527098316215196
2020-02-03,cvar_baseline,min_historical_cvar,0.95,0.2,ETH-USD,0.0038018697476051326
2020-02-03,cvar_baseline,min_historical_cvar,0.95,0.2,GLD,0.2514442627629983
2020-02-03,cvar_baseline,min_historical_cvar,0.95,0.2,QQQ,0.10268955308612882
2020-02-03,cvar_baseline,min_historical_cvar,0.95,0.2,SPY,0.35
2020-02-03,cvar_baseline,min_historical_cvar,0.95,0.2,TLT,0.2867933312411159
2020-03-02,cvar_baseline,min_historical_cvar,0.95,0.2,BTC-USD,0.0
2020-03-02,cvar_baseline,min_historical_cvar,0.95,0.2,ETH-USD,0.008370776625690532
2020-03-02,cvar_baseline,min_historical_cvar,0.95,0.2,GLD,0.23401809934654658
2020-03-02,cvar_baseline,min_historical_cvar,0.95,0.2,QQQ,0.05761112402776298
2020-03-02,cvar_baseline,min_historical_cvar,0.95,0.2,SPY,0.35
2020-03-02,cvar_baseline,min_historical_cvar,0.95,0.2,TLT,0.35
2020-04-01,cvar_baseline,min_historical_cvar,0.95,0.2,BTC-USD,0.0
2020-04-01,cvar_baseline,min_historical_cvar,0.95,0.2,ETH-USD,0.0
2020-04-01,cvar_baseline,min_historical_cvar,0.95,0.2,GLD,0.35
2020-04-01,cvar_baseline,min_historical_cvar,0.95,0.2,QQQ,0.30000000000000004
2020-04-01,cvar_baseline,min_historical_cvar,0.95,0.2,SPY,0.0
