target_col,model_name,bucket,mean_pred,mean_realized,n
target_btc_vol_21d,elastic_net,0,0.31018117510894855,0.2994048663914708,794
target_btc_vol_21d,elastic_net,1,0.4193834136908363,0.4160874960591163,794
target_btc_vol_21d,elastic_net,2,0.5005320880653215,0.49904896884368527,793
target_btc_vol_21d,elastic_net,3,0.6255855732222252,0.6233214424328487,794
target_btc_vol_21d,elastic_net,4,0.827173536530033,0.8311475023809709,794
target_btc_vol_21d,ewma,0,0.07088456953447023,0.5008631765226733,794
target_btc_vol_21d,ewma,1,0.08356704208342547,0.5236153205626376,794
target_btc_vol_21d,ewma,2,0.09347820169764653,0.5351879144487198,793
target_btc_vol_21d,ewma,3,0.10810510557695502,0.5252851205147573,794
target_btc_vol_21d,ewma,4,0.15098386619476767,0.5841042591041467,794
target_btc_vol_21d,naive_rolling_vol,0,0.06898906368284281,0.5119694207998121,794
target_btc_vol_21d,naive_rolling_vol,1,0.08319329392709414,0.4892074460542378,795
target_btc_vol_21d,naive_rolling_vol,2,0.0930653654095365,0.5536326424446795,793
target_btc_vol_21d,naive_rolling_vol,3,0.10768167537159093,0.5180905959332441,794
target_btc_vol_21d,naive_rolling_vol,4,0.15503098615420977,0.5963138107228056,793
target_btc_vol_21d,random_forest,0,0.3095689045381527,0.30085860089974026,794
target_btc_vol_21d,random_forest,1,0.41813234170547986,0.41495703819907775,797
target_btc_vol_21d,random_forest,2,0.49765107314563245,0.4983826541752309,791
target_btc_vol_21d,random_forest,3,0.6312648786858025,0.623762432654599,793
target_btc_vol_21d,random_forest,4,0.838988371567229,0.8315218301690404,794
target_btc_vol_21d,ridge,0,0.3128843478465781,0.3070147584359207,794
target_btc_vol_21d,ridge,1,0.41983467775379046,0.41375920820675016,794
target_btc_vol_21d,ridge,2,0.5139409546161843,0.4970991185982346,793
target_btc_vol_21d,ridge,3,0.6349536351319625,0.6218621302553142,794
target_btc_vol_21d,ridge,4,0.8233563364500908,0.8292726048810847,794
target_btc_vol_63d,elastic_net,0,0.35506704225870545,0.350832687844058,769
target_btc_vol_63d,elastic_net,1,0.45522995166376856,0.4534957466119906,768
target_btc_vol_63d,elastic_net,2,0.5440789621018343,0.5411736547038541,769
target_btc_vol_63d,elastic_net,3,0.6150780480259087,0.611339246001674,768
target_btc_vol_63d,elastic_net,4,0.7575329884918163,0.7591343349312385,769
target_btc_vol_63d,ewma,0,0.0758940097635324,0.5704258301866919,769
target_btc_vol_63d,ewma,1,0.08785182161536141,0.5006624550801267,768
target_btc_vol_63d,ewma,2,0.09705748230288758,0.5436631461273314,769
target_btc_vol_63d,ewma,3,0.109947026413255,0.5315929233641367,768
target_btc_vol_63d,ewma,4,0.1444974523263855,0.5695889491262459,769
target_btc_vol_63d,naive_rolling_vol,0,0.07566514488943248,0.5693500554237219,771
target_btc_vol_63d,naive_rolling_vol,1,0.0872089785612609,0.505995593935008,768
target_btc_vol_63d,naive_rolling_vol,2,0.09716186780210602,0.5345289103893687,769
target_btc_vol_63d,naive_rolling_vol,3,0.11029472892091359,0.5326835967877643,767
target_btc_vol_63d,naive_rolling_vol,4,0.1456841740504493,0.5733410099080024,768
target_btc_vol_63d,random_forest,0,0.3758511709040051,0.35669808084204957,769
target_btc_vol_63d,random_forest,1,0.4597825089740724,0.44839388761985033,768
target_btc_vol_63d,random_forest,2,0.544778109177401,0.5404997625868081,769
target_btc_vol_63d,random_forest,3,0.6126291314282196,0.611382417354832,768
target_btc_vol_63d,random_forest,4,0.7621753185595043,0.7589949434218644,769
target_btc_vol_63d,ridge,0,0.36172656533881115,0.3511844882249101,769
target_btc_vol_63d,ridge,1,0.4628542223679593,0.45386555554201397,768
target_btc_vol_63d,ridge,2,0.5466546214485172,0.5412147738275908,769
target_btc_vol_63d,ridge,3,0.617821817522745,0.6110592210444704,768
target_btc_vol_63d,ridge,4,0.7569689010342775,0.7586517482080211,769
target_portfolio_dd_21d,elastic_net,0,-0.03035814763206519,-0.02169497959299808,821
target_portfolio_dd_21d,elastic_net,1,-0.02921937620658941,-0.027612857508473858,767
target_portfolio_dd_21d,elastic_net,2,-0.026479981528623957,-0.02762391999279692,793
target_portfolio_dd_21d,elastic_net,3,-0.02288732987676761,-0.03532993058050323,794
target_portfolio_dd_21d,elastic_net,4,-0.018562566361174218,-0.021239848614315077,794
target_portfolio_dd_21d,ewma,0,0.07060709351459249,-0.021469414641729506,794
target_portfolio_dd_21d,ewma,1,0.08313758524964486,-0.028131076387712665,794
target_portfolio_dd_21d,ewma,2,0.09289054451204332,-0.026634871493434163,793
target_portfolio_dd_21d,ewma,3,0.10682511161770161,-0.025607834107635615,794
target_portfolio_dd_21d,ewma,4,0.14901202547090822,-0.0314558563434402,794
target_portfolio_dd_21d,naive_rolling_vol,0,0.06877279019616726,-0.021689600289591285,795
target_portfolio_dd_21d,naive_rolling_vol,1,0.08277977196986915,-0.02677058582065953,795
target_portfolio_dd_21d,naive_rolling_vol,2,0.09255347143368209,-0.02654175724237699,791
target_portfolio_dd_21d,naive_rolling_vol,3,0.10662621201549775,-0.027220243855230294,796
target_portfolio_dd_21d,naive_rolling_vol,4,0.1526844113184195,-0.031092324677640986,792
target_portfolio_dd_21d,random_forest,0,-0.04331574468793303,-0.02552211206115047,794
target_portfolio_dd_21d,random_forest,1,-0.02783718152143147,-0.03128959695555353,794
target_portfolio_dd_21d,random_forest,2,-0.022995000180070363,-0.025770592529400758,793
target_portfolio_dd_21d,random_forest,3,-0.019916646119969666,-0.026207907906103237,796
target_portfolio_dd_21d,random_forest,4,-0.017137859879200242,-0.024503461693798762,792
target_portfolio_dd_21d,ridge,0,-0.06452389020068439,-0.026730550945876282,794
target_portfolio_dd_21d,ridge,1,-0.04012879146022211,-0.02536324844646588,794
target_portfolio_dd_21d,ridge,2,-0.026399501076654116,-0.023617278787793888,793
target_portfolio_dd_21d,ridge,3,-0.011668349625921538,-0.02630241023484046,794
target_portfolio_dd_21d,ridge,4,0.01643422196093396,-0.03128176406438415,794
target_portfolio_dd_63d,elastic_net,0,-0.06120090362030287,-0.04213142859857224,819
target_portfolio_dd_63d,elastic_net,1,-0.05622590224154478,-0.04551505838364808,718
target_portfolio_dd_63d,elastic_net,2,-0.047505465071538605,-0.06848305493802839,816
target_portfolio_dd_63d,elastic_net,3,-0.04144225027224925,-0.050509273088686954,770
target_portfolio_dd_63d,elastic_net,4,-0.034102566000050266,-0.039931459525446945,720
target_portfolio_dd_63d,ewma,0,0.07570254365874454,-0.04713389417284546,769
target_portfolio_dd_63d,ewma,1,0.0871055378993349,-0.05280112203276902,768
target_portfolio_dd_63d,ewma,2,0.09565777996021776,-0.05178958806992087,769
