target_col,task,model_name,n_samples,n_splits,n_predictions,status,roc_auc,pr_auc,accuracy,precision,recall,f1,brier,tn,fp,fn,tp,mae,rmse,r2_oos,corr_pred_actual,directional_accuracy
target_portfolio_vol_21d,regression,naive_rolling_vol,1894,51,3213,ok,,,,,,,,,,,,0.0038419058408068686,0.008077343611431222,0.9453316233732316,0.9726284215491818,1.0
target_portfolio_vol_21d,regression,ewma,1894,51,3213,ok,,,,,,,,,,,,0.00912726664353405,0.015189949309118626,0.8066644534750398,0.8984168097650452,1.0
target_portfolio_vol_21d,regression,ridge,1894,51,3213,ok,,,,,,,,,,,,0.007071649050860493,0.010186688090605123,0.9130509025262636,0.9558400727856026,1.0
target_portfolio_vol_21d,regression,elastic_net,1894,51,3213,ok,,,,,,,,,,,,0.0045658800589947835,0.008286373157238824,0.9424655408421465,0.9714303412673991,1.0
target_portfolio_vol_21d,regression,random_forest,1894,51,3213,ok,,,,,,,,,,,,0.007244959262908638,0.014416844628064295,0.8258435765101573,0.9167992631715662,1.0
target_portfolio_vol_63d,regression,naive_rolling_vol,1852,49,3087,ok,,,,,,,,,,,,0.0012865602547617353,0.0029435965729050165,0.9861920785736734,0.9930909461981522,1.0
target_portfolio_vol_63d,regression,ewma,1852,49,3087,ok,,,,,,,,,,,,0.0032862103962617213,0.006075999883855993,0.9411688627694483,0.9701786442550215,1.0
target_portfolio_vol_63d,regression,ridge,1852,49,3087,ok,,,,,,,,,,,,0.0023517472345785852,0.003664828926649388,0.9785967786392918,0.9901575981834114,1.0
target_portfolio_vol_63d,regression,elastic_net,1852,49,3087,ok,,,,,,,,,,,,0.0017223496502313522,0.003172992911230064,0.9839561004775824,0.9923816912889598,1.0
target_portfolio_vol_63d,regression,random_forest,1852,49,3087,ok,,,,,,,,,,,,0.004452665136478345,0.007503432848918411,0.9102794906922806,0.9700472260607169,1.0
target_spy_vol_21d,regression,naive_rolling_vol,2152,63,3969,ok,,,,,,,,,,,,0.053457798723361184,0.07280779554017994,0.03546400789093196,0.7554719574682793,1.0
target_spy_vol_21d,regression,ewma,2152,63,3969,ok,,,,,,,,,,,,0.05324360508753497,0.07425214791977217,-0.003184277421674153,0.7383257246756288,1.0
target_spy_vol_21d,regression,ridge,2152,63,3969,ok,,,,,,,,,,,,0.01033983181176525,0.015641893286228652,0.9554814191074485,0.9776350312113042,1.0
target_spy_vol_21d,regression,elastic_net,2152,63,3969,ok,,,,,,,,,,,,0.006799692764315825,0.012200868933557511,0.9729140421546553,0.9864248130522468,1.0
target_spy_vol_21d,regression,random_forest,2152,63,3969,ok,,,,,,,,,,,,0.011540928093803022,0.028820201660342645,0.8488679040602968,0.9216767853211445,1.0
