target_col,task,best_model,selected_model,improved_vs_naive
target_portfolio_vol_21d,regression,naive_rolling_vol,naive_rolling_vol,False
target_portfolio_vol_63d,regression,naive_rolling_vol,naive_rolling_vol,False
target_spy_vol_21d,regression,elastic_net,elastic_net,True
target_btc_vol_21d,regression,elastic_net,elastic_net,True
target_spy_vol_63d,regression,elastic_net,elastic_net,True
target_btc_vol_63d,regression,elastic_net,elastic_net,True
target_portfolio_dd_21d,regression,elastic_net,elastic_net,True
target_portfolio_dd_63d,regression,elastic_net,elastic_net,True
target_portfolio_dd_event_21d,classification,random_forest_classifier,random_forest_classifier,True
target_portfolio_dd_event_63d,classification,calibrated_logistic,calibrated_logistic,True
target_btc_dd_event_21d,classification,calibrated_logistic,calibrated_logistic,True
target_stress_event_21d,classification,gradient_boosting_classifier,gradient_boosting_classifier,True
