target_col,model_name,decile,mean_score,event_rate,n
target_stress_event_21d,logistic,0,9.294706430240656e-07,0.3684210526315789,19
target_stress_event_21d,logistic,1,3.413147365142265e-06,0.631578947368421,19
target_stress_event_21d,logistic,2,6.379421058471891e-06,0.3684210526315789,19
target_stress_event_21d,logistic,3,1.4217910015726268e-05,0.42105263157894735,19
target_stress_event_21d,logistic,4,5.079826512560112e-05,0.05263157894736842,19
target_stress_event_21d,logistic,5,0.00036952179532355,0.0,18
target_stress_event_21d,logistic,6,0.0008341048295344158,0.0,19
target_stress_event_21d,logistic,7,0.0026121450014424522,0.0,19
target_stress_event_21d,logistic,8,0.010837542434593483,0.15789473684210525,19
target_stress_event_21d,logistic,9,0.1593172432826692,0.3157894736842105,19
